,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
1077095,2003,3,8,7,4,2003-08-07,OO,20304,OO,N418SW,3896,10140,1014001,30140,ABQ,"Albuquerque, NM",NM,35.0,New Mexico,86,14869,1486902,34614,SLC,"Salt Lake City, UT",UT,49.0,Utah,87,1222,1300.0,38.0,38.0,1.0,2.0,1200-1259,10.0,1310.0,1424.0,5.0,1350,1429.0,39.0,39.0,1.0,2.0,1300-1359,0.0,,0.0,88.0,89.0,74.0,1.0,493.0,2,39.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447448,2017,3,9,16,6,2017-09-16,DL,19790,DL,N920DN,766,10397,1039705,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,13342,1334205,33342,MKE,"Milwaukee, WI",WI,55.0,Wisconsin,45,1950,1946.0,-4.0,0.0,0.0,-1.0,1900-1959,11.0,1957.0,2029.0,6.0,2049,2035.0,-14.0,0.0,0.0,-1.0,2000-2059,0.0,,0.0,119.0,109.0,92.0,1.0,669.0,3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579254,2019,4,10,14,1,2019-10-14,WN,19393,WN,N482WN,4702,13796,1379608,32457,OAK,"Oakland, CA",CA,6.0,California,91,12954,1295407,32575,LGB,"Long Beach, CA",CA,6.0,California,91,1955,1958.0,3.0,3.0,0.0,0.0,1900-1959,10.0,2008.0,2108.0,4.0,2125,2112.0,-13.0,0.0,0.0,-1.0,2100-2159,0.0,,0.0,90.0,74.0,60.0,1.0,353.0,2,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925273,2007,1,3,26,1,2007-03-26,OH,20417,OH,N920CA,5159,10257,1025701,30257,ALB,"Albany, NY",NY,36.0,New York,22,11193,1119301,33105,CVG,"Cincinnati, OH",KY,21.0,Kentucky,52,1330,1320.0,-10.0,0.0,0.0,-1.0,1300-1359,15.0,1335.0,1522.0,2.0,1535,1524.0,-11.0,0.0,0.0,-1.0,1500-1559,0.0,,0.0,125.0,124.0,107.0,1.0,623.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985329,2005,4,12,15,4,2005-12-15,AA,19805,AA,N564AA,1987,10721,1072101,30721,BOS,"Boston, MA",MA,25.0,Massachusetts,13,15016,1501602,31123,STL,"St. Louis, MO",MO,29.0,Missouri,64,1710,1703.0,-7.0,0.0,0.0,-1.0,1700-1759,21.0,1724.0,1904.0,4.0,1923,1908.0,-15.0,0.0,0.0,-1.0,1900-1959,0.0,,0.0,193.0,185.0,160.0,1.0,1046.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522740,1996,2,5,21,2,1996-05-21,UA,19977,UA,N529UA,806,14771,1477101,32457,SFO,"San Francisco, CA",CA,6.0,California,91,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,1105,1110.0,5.0,5.0,0.0,0.0,1100-1159,12.0,1122.0,1640.0,5.0,1706,1645.0,-21.0,0.0,0.0,-2.0,1700-1759,0.0,,0.0,241.0,215.0,198.0,1.0,1846.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722866,2005,2,4,14,4,2005-04-14,OO,20304,OO,N588SW,3949,14869,1486902,34614,SLC,"Salt Lake City, UT",UT,49.0,Utah,87,14262,1426201,34262,PSP,"Palm Springs, CA",CA,6.0,California,91,1137,1137.0,0.0,0.0,0.0,0.0,1100-1159,10.0,1147.0,1209.0,3.0,1213,1212.0,-1.0,0.0,0.0,-1.0,1200-1259,0.0,,0.0,96.0,95.0,82.0,1.0,541.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691949,2006,2,4,26,3,2006-04-26,UA,19977,UA,N847UA,421,10785,1078501,30785,BTV,"Burlington, VT",VT,50.0,Vermont,16,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,743,743.0,0.0,0.0,0.0,0.0,0700-0759,24.0,807.0,858.0,4.0,909,902.0,-7.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,146.0,139.0,111.0,1.0,763.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216589,2010,4,12,28,2,2010-12-28,YV,20378,YV,N518LR,7303,14122,1412201,30198,PIT,"Pittsburgh, PA",PA,42.0,Pennsylvania,23,12264,1226401,30852,IAD,"Washington, DC",VA,51.0,Virginia,38,1035,1033.0,-2.0,0.0,0.0,-1.0,1000-1059,24.0,1057.0,1133.0,5.0,1137,1138.0,1.0,1.0,0.0,0.0,1100-1159,0.0,,0.0,62.0,65.0,36.0,1.0,183.0,1,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319453,2017,3,9,3,7,2017-09-03,UA,19977,UA,N33262,939,11292,1129202,30325,DEN,"Denver, CO",CO,8.0,Colorado,82,12264,1226402,30852,IAD,"Washington, DC",VA,51.0,Virginia,38,820,816.0,-4.0,0.0,0.0,-1.0,0800-0859,17.0,833.0,1323.0,6.0,1339,1329.0,-10.0,0.0,0.0,-1.0,1300-1359,0.0,,0.0,199.0,193.0,170.0,1.0,1452.0,6,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
